config_id,accuracy,params,disk_mb,peak_rss_mb,latency_p50_ms,latency_p95_ms,cpu_pct
full,0.39285714285714285,9975,0.046736717224121094,2865.94140625,0.3488000002107583,0.6229000027815346,403.2
quant8,0.4511904761904762,9975,0.03414726257324219,2865.94140625,1.3727000005019363,4.2452000016055536,737.5
pruned30,0.34523809523809523,5066,0.030501365661621094,2865.94140625,0.3442999986873474,0.7063000011839904,705.6
pruned60,0.3154761904761904,1908,0.018294334411621094,2870.08203125,0.35290000232635066,1.0823000011441763,756.0
