class,precision,recall,f1,support
LYING,0.5582059274652417,0.7317024133033265,0.6332862752142174,154187
SITTING,0.5242860335963963,0.20231957907867062,0.2919694750045481,150717
STANDING_STILL,0.03579074123628579,0.14390746884246391,0.057324499526760365,11153
STANDING_MOVING,0.14098674320076535,0.13783336005558228,0.13939221965489748,37422
WALKING,0.4779381597105666,0.42519162491289775,0.4500245838308633,30137
RUNNING,0.004014367208958377,0.05374823196605375,0.007470755922540057,707
BICYCLING,0.3496056567854229,0.6149246591724468,0.4457737321196359,8362
